fecha;tendencia;precio_entrada;resultado;ganancia_usd
15/01/2025 19:10;bajista;102.907;sin resultado;0.0
15/01/2025 19:25;alcista;102.927;sin resultado;0.0
15/01/2025 19:30;bajista;102.908;sin resultado;0.0
15/01/2025 19:35;alcista;102.942;sin resultado;0.0
15/01/2025 19:40;bajista;102.908;sin resultado;0.0
15/01/2025 19:45;alcista;102.937;sin resultado;0.0
15/01/2025 20:05;bajista;102.923;sin resultado;0.0
15/01/2025 20:10;alcista;102.928;sin resultado;0.0
15/01/2025 21:00;bajista;102.956;TP;10.0
15/01/2025 22:15;alcista;102.909;sin resultado;0.0
15/01/2025 23:15;bajista;102.917;sin resultado;0.0
15/01/2025 23:20;alcista;102.937;sin resultado;0.0
16/01/2025 0:15;bajista;102.917;sin resultado;0.0
16/01/2025 0:30;alcista;10.298;SL;-10.0
16/01/2025 0:45;bajista;102.888;SL;-10.0
16/01/2025 0:55;alcista;10.299;SL;-10.0
16/01/2025 1:15;bajista;102.939;sin resultado;0.0
16/01/2025 1:40;alcista;102.974;SL;-10.0
16/01/2025 1:50;bajista;102.896;sin resultado;0.0
16/01/2025 2:35;alcista;102.886;sin resultado;0.0
16/01/2025 3:00;bajista;10.286;sin resultado;0.0
16/01/2025 3:50;alcista;102.875;sin resultado;0.0
16/01/2025 4:20;bajista;102.919;sin resultado;0.0
16/01/2025 6:05;alcista;102.835;TP;10.0
16/01/2025 7:50;bajista;102.963;sin resultado;0.0
16/01/2025 8:00;alcista;102.994;SL;-10.0
16/01/2025 8:10;bajista;102.927;sin resultado;0.0
16/01/2025 8:45;alcista;102.957;SL;-10.0
16/01/2025 9:00;bajista;10.291;sin resultado;0.0
16/01/2025 9:20;alcista;102.981;SL;-10.0
16/01/2025 9:35;bajista;10.291;sin resultado;0.0
16/01/2025 10:05;alcista;102.868;sin resultado;0.0
16/01/2025 10:50;bajista;10.288;sin resultado;0.0
16/01/2025 11:25;alcista;102.881;SL;-10.0
16/01/2025 12:00;bajista;102.872;TP;10.0
16/01/2025 12:55;alcista;102.718;SL;-10.0
16/01/2025 13:15;bajista;102.657;SL;-10.0
16/01/2025 13:30;alcista;102.743;TP;10.0
16/01/2025 14:10;bajista;102.728;SL;-10.0
16/01/2025 14:25;alcista;102.747;TP;10.0
16/01/2025 14:30;bajista;102.721;SL;-10.0
16/01/2025 14:40;alcista;102.773;TP;10.0
16/01/2025 15:50;bajista;102.988;SL;-10.0
16/01/2025 16:00;alcista;103.073;SL;-10.0
16/01/2025 16:10;bajista;10.292;SL;-10.0
16/01/2025 16:30;alcista;103.104;SL;-10.0
16/01/2025 17:00;bajista;10.302;SL;-10.0
16/01/2025 17:15;alcista;103.126;SL;-10.0
16/01/2025 17:40;bajista;103.028;sin resultado;0.0
16/01/2025 18:15;alcista;103.011;sin resultado;0.0
16/01/2025 18:30;bajista;102.955;SL;-10.0
16/01/2025 19:00;alcista;10.303;sin resultado;0.0
16/01/2025 19:30;bajista;103.006;sin resultado;0.0
16/01/2025 20:25;alcista;103.013;sin resultado;0.0
16/01/2025 20:45;bajista;102.997;sin resultado;0.0
16/01/2025 21:25;alcista;102.997;sin resultado;0.0
16/01/2025 21:55;bajista;102.969;sin resultado;0.0
16/01/2025 22:20;alcista;10.302;sin resultado;0.0
16/01/2025 22:55;bajista;103.012;sin resultado;0.0
16/01/2025 23:05;alcista;103.018;sin resultado;0.0
16/01/2025 23:35;bajista;103.008;sin resultado;0.0
17/01/2025 0:30;alcista;103.031;sin resultado;0.0
17/01/2025 1:15;bajista;103.028;sin resultado;0.0
17/01/2025 1:40;alcista;103.073;sin resultado;0.0
17/01/2025 2:35;bajista;103.058;sin resultado;0.0
17/01/2025 3:40;alcista;10.303;sin resultado;0.0
17/01/2025 3:50;bajista;103.006;sin resultado;0.0
17/01/2025 5:05;alcista;102.947;sin resultado;0.0
17/01/2025 5:15;bajista;102.924;sin resultado;0.0
17/01/2025 5:55;alcista;102.932;sin resultado;0.0
17/01/2025 6:15;bajista;102.874;sin resultado;0.0
17/01/2025 6:40;alcista;102.877;SL;-10.0
17/01/2025 7:10;bajista;102.839;sin resultado;0.0
17/01/2025 7:50;alcista;102.879;TP;10.0
17/01/2025 9:20;bajista;102.956;sin resultado;0.0
17/01/2025 10:00;alcista;102.994;sin resultado;0.0
17/01/2025 11:35;bajista;103.025;sin resultado;0.0
17/01/2025 12:10;alcista;103.051;SL;-10.0
17/01/2025 12:40;bajista;102.956;TP;10.0
17/01/2025 13:40;alcista;102.955;SL;-10.0
17/01/2025 13:50;bajista;102.871;TP;10.0
17/01/2025 14:40;alcista;102.845;TP;10.0
17/01/2025 15:30;bajista;103.066;TP;10.0
17/01/2025 16:25;alcista;10.294;SL;-10.0
17/01/2025 16:50;bajista;102.921;TP;10.0
17/01/2025 18:15;alcista;102.884;SL;-10.0
17/01/2025 18:35;bajista;102.833;sin resultado;0.0
17/01/2025 19:55;alcista;102.763;sin resultado;0.0
17/01/2025 20:45;bajista;102.753;sin resultado;0.0
17/01/2025 21:40;alcista;102.719;sin resultado;0.0
17/01/2025 21:45;bajista;102.695;SL;-10.0
19/01/2025 22:05;alcista;102.745;sin resultado;0.0
19/01/2025 22:35;bajista;102.746;sin resultado;0.0
19/01/2025 22:55;alcista;102.784;SL;-10.0
19/01/2025 23:00;bajista;102.734;sin resultado;0.0
19/01/2025 23:45;alcista;102.751;TP;10.0
20/01/2025 1:15;bajista;102.809;SL;-10.0
20/01/2025 1:45;alcista;102.864;sin resultado;0.0
20/01/2025 2:25;bajista;102.875;sin resultado;0.0
20/01/2025 2:35;alcista;102.918;sin resultado;0.0
20/01/2025 4:25;bajista;103.035;sin resultado;0.0
20/01/2025 4:50;alcista;103.029;sin resultado;0.0
20/01/2025 5:15;bajista;103.028;sin resultado;0.0
20/01/2025 5:35;alcista;103.044;sin resultado;0.0
20/01/2025 5:55;bajista;103.025;SL;-10.0
20/01/2025 6:25;alcista;103.063;TP;10.0
20/01/2025 7:10;bajista;103.079;SL;-10.0
20/01/2025 7:35;alcista;10.312;sin resultado;0.0
20/01/2025 8:15;bajista;103.127;sin resultado;0.0
20/01/2025 9:00;alcista;103.131;sin resultado;0.0
20/01/2025 9:15;bajista;103.067;SL;-10.0
20/01/2025 9:40;alcista;103.092;TP;10.0
20/01/2025 9:55;bajista;103.061;SL;-10.0
20/01/2025 10:00;alcista;103.121;TP;10.0
20/01/2025 10:50;bajista;103.142;SL;-10.0
20/01/2025 11:10;alcista;103.227;sin resultado;0.0
20/01/2025 12:10;bajista;103.201;sin resultado;0.0
20/01/2025 12:40;alcista;103.225;SL;-10.0
20/01/2025 13:00;bajista;103.174;SL;-10.0
20/01/2025 13:30;alcista;103.971;SL;-10.0
20/01/2025 15:25;bajista;104.032;TP;10.0
20/01/2025 16:00;alcista;104.003;SL;-10.0
20/01/2025 16:15;bajista;103.927;SL;-10.0
20/01/2025 16:25;alcista;104.025;SL;-10.0
20/01/2025 16:50;bajista;103.986;TP;10.0
20/01/2025 18:50;alcista;103.877;TP;10.0
20/01/2025 19:15;bajista;103.936;SL;-10.0
20/01/2025 19:35;alcista;103.959;TP;10.0
20/01/2025 20:25;bajista;104.142;SL;-10.0
20/01/2025 21:10;alcista;104.187;SL;-10.0
20/01/2025 21:20;bajista;104.143;sin resultado;0.0
20/01/2025 21:55;alcista;104.158;sin resultado;0.0
20/01/2025 22:00;bajista;104.105;sin resultado;0.0
20/01/2025 22:05;alcista;104.144;TP;10.0
20/01/2025 22:25;bajista;104.135;SL;-10.0
20/01/2025 23:00;alcista;104.164;TP;10.0
20/01/2025 23:35;bajista;104.136;SL;-10.0
20/01/2025 23:45;alcista;104.231;TP;10.0
21/01/2025 0:35;bajista;104.204;TP;10.0
21/01/2025 1:15;alcista;103.766;TP;10.0
21/01/2025 1:40;bajista;103.642;SL;-10.0
21/01/2025 2:00;alcista;103.808;TP;10.0
21/01/2025 3:35;bajista;103.917;sin resultado;0.0
21/01/2025 4:20;alcista;103.975;SL;-10.0
